name,artist,track_URI,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,playlist
Style,Taylor Swift,spotify:track:1fo2ctLqj3zBhRQKOXprol,0.00245,0.588,0.791,0.00258,0.118,-5.595,0.0402,94.933,0.487,The Longest Playlist on Spotify® (Official)
Shake It Off,Taylor Swift,spotify:track:5xTtaWoae3wi06K5WfVUUH,0.0561,0.647,0.785,0.0,0.148,-5.414,0.165,160.015,0.943,The Longest Playlist on Spotify® (Official)
Mean,Taylor Swift,spotify:track:5yEPktRqvIhko5QFF3aBhQ,0.452,0.568,0.761,0.0,0.217,-3.987,0.0459,163.974,0.789,The Longest Playlist on Spotify® (Official)
Gorgeous,Taylor Swift,spotify:track:0CLnkxpa3M4eA3HeGaERat,0.079,0.794,0.537,4.98e-06,0.227,-6.865,0.169,92.022,0.418,The Longest Playlist on Spotify® (Official)
Teardrops On My Guitar - Radio Single Remix,Taylor Swift,spotify:track:7zMcNqs55Mxer82bvZFkpg,0.288,0.621,0.417,0.0,0.119,-6.941,0.0231,99.953,0.289,The Longest Playlist on Spotify® (Official)
All of Me,John Legend,spotify:track:3U4isOIWM3VvDubwSI3y7a,0.922,0.422,0.264,0.0,0.132,-7.064,0.0322,119.93,0.331,The Longest Playlist on Spotify® (Official)
Let Her Go,Passenger,spotify:track:6GmUVqe73u5YRfUUynZK6I,0.365,0.479,0.545,0.0,0.0963,-7.346,0.0688,74.897,0.244,The Longest Playlist on Spotify® (Official)
Stay With Me,Sam Smith,spotify:track:5Db9VIdDsN5yu3Eu7CT0i4,0.568,0.479,0.419,0.000217,0.11,-6.517,0.0389,85.014,0.186,The Longest Playlist on Spotify® (Official)
The A Team,Ed Sheeran,spotify:track:1VdZ0vKfR5jneCmWIUAMxK,0.669,0.642,0.289,0.0,0.18,-9.918,0.0367,84.996,0.407,The Longest Playlist on Spotify® (Official)
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,spotify:track:1jYiIOC5d6soxkJP81fxq2,0.0533,0.599,0.667,0.0,0.134,-4.267,0.0367,80.984,0.817,The Longest Playlist on Spotify® (Official)
Mirrors,Justin Timberlake,spotify:track:2JZKXgq5zsokN01KWyiY6n,0.234,0.574,0.512,0.0,0.0946,-6.664,0.0503,76.899,0.512,The Longest Playlist on Spotify® (Official)
Firework,Katy Perry,spotify:track:4lCv7b86sLynZbXhfScfm2,0.139,0.638,0.826,0.0,0.0803,-4.968,0.0479,124.072,0.649,The Longest Playlist on Spotify® (Official)
Perfect,Ed Sheeran,spotify:track:0tgVpDi06FyKpA1z0VMD4v,0.163,0.599,0.448,0.0,0.106,-6.312,0.0232,95.05,0.168,The Longest Playlist on Spotify® (Official)
What Do You Mean?,Justin Bieber,spotify:track:4B0JvthVoAAuygILe3n4Bs,0.59,0.845,0.567,0.00142,0.0811,-8.118,0.0956,125.02,0.793,The Longest Playlist on Spotify® (Official)
Sorry Not Sorry,Demi Lovato,spotify:track:3Du2K5dLzmduCNp6uwuaL0,0.0223,0.702,0.635,0.0,0.283,-6.917,0.265,144.004,0.873,The Longest Playlist on Spotify® (Official)
Stronger (What Doesn't Kill You),Kelly Clarkson,spotify:track:6D60klaHqbCl9ySc8VcRss,0.046,0.562,0.939,0.0,0.112,-4.282,0.0475,116.044,0.684,The Longest Playlist on Spotify® (Official)
In Case You Didn't Know,Brett Young,spotify:track:2dWgzqawzDkBL8QfZw92Ub,0.397,0.596,0.544,0.0,0.106,-7.294,0.0315,147.976,0.393,The Longest Playlist on Spotify® (Official)
Singles You Up,Jordan Davis,spotify:track:3IPkbTA8KkdDXyWtGkfFXa,0.0472,0.635,0.903,0.0,0.255,-3.588,0.0323,100.08,0.559,The Longest Playlist on Spotify® (Official)
Craving You,Thomas Rhett,spotify:track:6zLdXcmvIxnAXpz9sXFnIE,0.000907,0.612,0.841,0.0,0.37,-3.795,0.0353,104.986,0.499,The Longest Playlist on Spotify® (Official)
All On Me,Devin Dawson,spotify:track:2Nc8Imt04W3ZmcBF8dPQKc,0.144,0.631,0.658,0.0,0.22,-5.313,0.0281,80.996,0.7,The Longest Playlist on Spotify® (Official)
